Continent,Country,Region,Location,Site_name,Feature,Latitude_(oS),Longitude_(oW),Elevation_(m_amsl),Dating_method,Material_dated,Strat._Depth_(cm),Interpretation,Reference_and_map_ID,Map_ID,Sample_ID,Measured_age_(14C_yr_BP_±_1σ),1s,,Oxcal_v4.4_SHCal20,from,to,%,from,to,%,μ,σ,m,Oxcal_v4.4_SHCal13,from,to,%,from,to,%,μ,σ,m
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,43.6,Age model construction,Oliva et al 2016a ,13,ULA-4247,2600,20,shcal20, R_Date ULA-4247,2750,2545,68.3,2755,2500,95.4,2668,81,2716, R_Date ULA-4247,2749,2545,68.3,2754,2501,95.4,2670,81,2718
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,48.3,Age model construction,Oliva et al 2016a ,13,ULA-4653,2925,20,shcal20, R_Date ULA-4653,3065,2964,68.3,3153,2886,95.4,3023,57,3021, R_Date ULA-4653,3060,2963,68.3,3141,2890,95.4,3011,52,3009
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,54.3,Age model construction,Oliva et al 2016a ,13,ULA-4652,3220,20,shcal20, R_Date ULA-4652,3444,3371,68.3,3450,3354,95.4,3401,31,3400, R_Date ULA-4652,3445,3374,68.3,3455,3352,95.4,3404,31,3403
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,58.3,Age model construction,Oliva et al 2016a ,13,ULA-4663,3325,25,shcal20, R_Date ULA-4663,3560,3455,68.3,3574,3408,95.4,3505,43,3506, R_Date ULA-4663,3560,3475,68.3,3587,3410,95.4,3511,41,3511
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,64.8,Age model construction,Oliva et al 2016a ,13,ULA-4255,3630,15,shcal20, R_Date ULA-4255,3962,3850,68.3,3982,3831,95.4,3901,47,3898, R_Date ULA-4255,3920,3845,68.3,3972,3834,95.4,3893,40,3889
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,131.6,Age model construction,Oliva et al 2016a ,13,ULA-4254,3765,15,shcal20, R_Date ULA-4254,4147,3992,68.3,4219,3981,95.4,4072,58,4076, R_Date ULA-4254,4144,3991,68.3,4149,3983,95.4,4062,52,4058
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,138.2,Age model construction,Oliva et al 2016a ,13,ULA-4703,4265,20,shcal20, R_Date ULA-4703,4850,4657,68.3,4859,4644,95.4,4770,66,4756, R_Date ULA-4703,4845,4711,68.3,4855,4644,95.4,4767,63,4752
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,143.1,Minimum age for deglaciation,Oliva et al 2016a ,13,ULA-4243,4600,20,shcal20, R_Date ULA-4243,5319,5073,68.3,5439,5052,95.4,5220,102,5241, R_Date ULA-4243,5315,5076,68.3,5433,5054,95.4,5199,93,5163
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_ByP_Lake 49,Freshwater lake,-62.6452,-61.0794,80,14C,Freshwater moss ,93-100,Minimum age for deglaciation,Björck et al 1996 ,3,Lu-3473,3730,400,shcal20, R_Date Lu-3473,4575,3489,68.3,5282,3079,95.4,4116,529,4094, R_Date Lu-3473,4779,3496,68.3,5280,3077,95.4,4111,528,4089
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,13.3-13.5,Age model construction,Toro et al 2013 ,23,Poz-39062,555,30,shcal20, R_Date Poz-39062,543,515,68.3,556,501,95.4,531,19,529, R_Date Poz-39062,545,515,68.3,555,504,95.4,531,16,530
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,19.5-19.7,Age model construction,Toro et al 2013 ,23,Poz-39063,565,30,shcal20, R_Date Poz-39063,547,519,68.3,622,503,95.4,536,23,534, R_Date Poz-39063,548,520,68.3,560,503,95.4,536,20,534
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,24-24.5,Age model construction,Toro et al 2013 ,23,Beta-299978,490,30,shcal20, R_Date Beta-299978,519,493,68.3,539,461,95.4,501,27,505, R_Date Beta-299978,519,494,68.3,538,468,95.4,503,22,506
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,26.2-26.7,Age model construction,Toro et al 2013 ,23,Poz-39064,580,30,shcal20, R_Date Poz-39064,555,520,68.3,626,509,95.4,548,30,541, R_Date Poz-39064,554,523,68.3,626,510,95.4,546,27,541
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,33.2-33.4,Age model construction,Toro et al 2013 ,23,Poz-39066,850,30,shcal20, R_Date Poz-39066,735,680,68.3,767,673,95.4,715,27,713, R_Date Poz-39066,735,684,68.3,767,675,95.4,716,25,715
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,39-39.7,Age model construction,Toro et al 2013 ,23,Poz-39067,1045,35,shcal20, R_Date Poz-39067,958,816,68.3,960,800,95.4,890,51,906, R_Date Poz-39067,957,821,68.3,963,802,95.4,891,49,908
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,48.7-49.3,Age model construction,Toro et al 2013 ,23,Poz-39068,1280,30,shcal20, R_Date Poz-39068,1259,1077,68.3,1265,1067,95.4,1154,59,1140, R_Date Poz-39068,1185,1075,68.3,1266,1069,95.4,1157,56,1149
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,56.4-57,Age model construction,Toro et al 2013 ,23,Poz-39070,1445,30,shcal20, R_Date Poz-39070,1346,1285,68.3,1360,1273,95.4,1308,28,1306, R_Date Poz-39070,1320,1283,68.3,1355,1274,95.4,1310,23,1307
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,56-57,Age model construction,Toro et al 2013 ,23,Beta-299979,1490,30,shcal20, R_Date Beta-299979,1354,1309,68.3,1403,1297,95.4,1338,24,1336, R_Date Beta-299979,1354,1309,68.3,1401,1298,95.4,1338,24,1336
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,65-65.5,Age model construction,Toro et al 2013 ,23,Poz-39071,1665,35,shcal20, R_Date Poz-39071,1565,1429,68.3,1588,1415,95.4,1507,50,1512, R_Date Poz-39071,1567,1434,68.3,1590,1415,95.4,1510,49,1516
