Depth_cm,Age_BP_Sh13,Age_BP_Sh20_min,Age_BP_Sh20_max,Age_BP_Sh20_median,Age_BP_Sh20_mean,RABD620,R850_R900,LOESS_100_age,LOESS_100_R850_R900,Predicted,Residuals,age_plot,R850_R900_mean,R850_R900_sd,Depth_0.1cm,Age_BP_Sh20_min_0.1cm,Age_BP_Sh20_max_0.1cm,Age_BP_Sh20_median_0.1cm,Age_BP_Sh20_mean_0.1cm,R850_R900_0.1cm,Depth_0.1cm,Age_BP_Sh20_min_0.5cm,Age_BP_Sh20_max_0.5cm,Age_BP_Sh20_median_0.5cm,Age_BP_Sh20_mean_0.5cm,R850_R900_0.5cm,,depth,min,max,median,mean
0.3087,-59.3,-65.22,-57.44,-61.6,-61.44,1.023391757,1.001305734,4400,1.004939957,0.99218412,0.009121614,,,,4.5,-55.34,-23.6,-39.91,-40.25,0.990248819,22.5,4879.22,5348.63,5063.22,5082.18,0.956515794,,0.3087,-65.22,-57.44,-61.6,-61.44
0.31556,-59.2,-65.18,-57.34,-61.57,-61.4,1.026538758,1.003853716,4500,1.000313704,0.99219881,0.011654906,,,,4.6,-55.08,-23.37,-39.4,-39.69,1.011287509,23,5101.77,5443.86,5240.92,5252.68,0.962090578,,0.31556,-65.18,-57.34,-61.57,-61.4
0.32242,-59.1,-65.17,-57.26,-61.54,-61.36,1.02566644,1.007461486,4600,1.000181701,0.99221357,0.015247916,,,,4.7,-54.87,-23.08,-38.89,-39.13,1.019368653,23.5,5311.27,5575.78,5413.42,5423.18,0.97708037,,0.32242,-65.17,-57.26,-61.54,-61.36
0.32928,-59.1,-65.16,-57.13,-61.52,-61.33,1.026434504,0.998162309,4700,1.001371401,0.99221357,0.005948739,,,,4.8,-54.33,-22.67,-38.29,-38.57,1.006877189,24,5371.63,5807.02,5599.36,5593.67,0.979300972,,0.32928,-65.16,-57.13,-61.52,-61.33
0.33614,-59,-65.14,-57.04,-61.49,-61.29,1.024876266,1.000454002,4800,0.999727795,0.992228033,0.008225969,,,,4.9,-53.85,-21.95,-37.73,-38,1.010349241,24.5,5532.47,5979.4,5788.38,5769.92,0.992517409,,0.33614,-65.14,-57.04,-61.49,-61.29
0.343,-58.9,-65.12,-56.98,-61.46,-61.25,1.026249327,0.99720348,4900,0.99667602,0.99224256,0.00496092,,,,5,-53.45,-21.33,-37.16,-37.44,1.00315521,25,5654.95,6144.11,5967.05,5946.17,1.018468442,,0.343,-65.12,-56.98,-61.46,-61.25
0.34986,-58.8,-65.11,-56.9,-61.42,-61.21,1.024860542,0.999445527,5000,0.992952816,0.992256968,0.007188559,,,,5.1,-53.04,-21.12,-36.45,-36.88,0.984888423,25.5,5757.73,6370.72,6154.92,6122.42,0.997184052,,0.34986,-65.11,-56.9,-61.42,-61.21
0.35672,-58.7,-65.09,-56.81,-61.39,-61.17,1.022382644,0.989789309,5100,0.989215332,0.99227123,-0.002481921,,,,5.2,-52.64,-20.88,-35.87,-36.32,0.984782801,26,5848.51,6603.97,6335.29,6298.67,1.031245963,,0.35672,-65.09,-56.81,-61.39,-61.17
0.36358,-58.6,-65.08,-56.73,-61.36,-61.13,1.022561636,0.988886293,5200,0.98585871,0.992285439,-0.003399146,,,,5.3,-52.29,-20.24,-35.37,-35.76,0.992953139,26.5,6016.82,6658.43,6421.8,6399.56,1.012787739,,0.36358,-65.08,-56.73,-61.36,-61.13
0.37044,-58.5,-65.06,-56.63,-61.32,-61.09,1.020646091,0.990057066,5300,0.98317095,0.992299583,-0.002242517,,,,5.4,-52,-19.61,-34.9,-35.2,0.991752352,27,6197.5,6716.08,6515.53,6500.45,0.981191023,,0.37044,-65.06,-56.63,-61.32,-61.09
